
2021년 12월 14일 21시 49분 42초   =>  코인시스탬 매도 | 아이디 : JCS1 | 코인종류 : XRP | 체결가격 : 1001원 | 체결금액 : 88757원 | 체결수량 : 88.66933
2021년 12월 14일 21시 50분 36초   =>  코인시스탬 매수 | 아이디 : JCS1 | 코인종류 : XRP | 체결가격 : 1000원 | 체결금액 : 1000009998757원 | 체결수량 : 1000009998.757
2021년 12월 14일 21시 55분 0초   =>  코인시스탬 매도 | 아이디 : JCS1 | 코인종류 : XRP | 체결가격 : 1002원 | 체결금액 : 1002010003968원 | 체결수량 : 1000009984
2021년 12월 14일 21시 55분 0초   =>  코인시스탬 매수 | 아이디 : JCS1 | 코인종류 : BTC | 체결가격 : 59003000원 | 체결금액 : 1002010003934원 | 체결수량 : 16982.356896
2021년 12월 14일 21시 55분 0초   =>  코인시스탬 매수 | 아이디 : JCS1 | 코인종류 : DOGE | 체결가격 : 253.3원 | 체결금액 : 100033원 | 체결수량 : 394.923016
2021년 12월 14일 21시 55분 0초   =>  코인시스탬 매도 | 아이디 : JCS10000 | 코인종류 : ETH | 체결가격 : 4756000원 | 체결금액 : 4756000원 | 체결수량 : 1
2021년 12월 14일 21시 55분 0초   =>  코인시스탬 매수 | 아이디 : JCS10000 | 코인종류 : DOGE | 체결가격 : 254.3원 | 체결금액 : 3999999원 | 체결수량 : 15729.453401
2021년 12월 14일 22시 42분 47초   =>  코인시스탬 매수 | 아이디 : JCS10000 | 코인종류 : DOGE | 체결가격 : 242.9원 | 체결금액 : 749999원 | 체결수량 : 3087.690407
2021년 12월 14일 23시 1분 6초   =>  코인시스탬 매수 | 아이디 : JCS10000 | 코인종류 : DOGE | 체결가격 : 243.4원 | 체결금액 : 999999원 | 체결수량 : 4108.463434
2021년 12월 14일 23시 1분 6초   =>  코인시스탬 매수 | 아이디 : JCS10000 | 코인종류 : DOGE | 체결가격 : 243.2원 | 체결금액 : 6005원 | 체결수량 : 24.695723
2021년 12월 14일 23시 1분 6초   =>  코인시스탬 매도 | 아이디 : JCS10000 | 코인종류 : DOGE | 체결가격 : 237.8원 | 체결금액 : 999999원 | 체결수량 : 4205.214465
2021년 12월 14일 23시 1분 6초   =>  코인시스탬 매수 | 아이디 : JCS10000 | 코인종류 : BTC | 체결가격 : 58614000원 | 체결금액 : 999954원 | 체결수량 : 0.01706
2021년 12월 14일 23시 1분 6초   =>  코인시스탬 매도 | 아이디 : JCS10000 | 코인종류 : BTC | 체결가격 : 58523000원 | 체결금액 : 989975원 | 체결수량 : 0.016916
2021년 12월 14일 23시 1분 6초   =>  코인시스탬 매도 | 아이디 : JCS10000 | 코인종류 : DOGE | 체결가격 : 235.2원 | 체결금액 : 13382787원 | 체결수량 : 56899.608843
2021년 12월 14일 23시 1분 6초   =>  코인시스탬 매도 | 아이디 : JCS10000 | 코인종류 : BTC | 체결가격 : 58587000원 | 체결금액 : 8377원 | 체결수량 : 0.000143
2021년 12월 15일 16시 11분 37초   =>  코인시스탬 매도 | 아이디 : JCS1 | 코인종류 : DOGE | 체결가격 : 220.6원 | 체결금액 : 87119원 | 체결수량 : 394.922937
2021년 12월 15일 16시 11분 37초   =>  코인시스탬 매도 | 아이디 : JCS1 | 코인종류 : BTC | 체결가격 : 59206000원 | 체결금액 : 1005457453467원 | 체결수량 : 16982.357421
2021년 12월 15일 16시 11분 37초   =>  코인시스탬 매수 | 아이디 : JCS1 | 코인종류 : ETH | 체결가격 : 4740000원 | 체결금액 : 99999998원 | 체결수량 : 21.097046
2021년 12월 15일 19시 13분 52초   =>  코인시스탬 매도 | 아이디 : JCS1 | 코인종류 : ETH | 체결가격 : 4793000원 | 체결금액 : 49999996원 | 체결수량 : 10.431879
2021년 12월 16일 22시 29분 8초   =>  코인시스탬 매수 | 아이디 : JCS1 | 코인종류 : BTT | 체결가격 : 3.497원 | 체결금액 : 49999997원 | 체결수량 : 14297969.116385
2021년 12월 16일 22시 35분 46초   =>  코인시스탬 매도 | 아이디 : JCS1 | 코인종류 : ETH | 체결가격 : 5025000원 | 체결금액 : 2354132원 | 체결수량 : 0.468484
2021년 12월 16일 22시 35분 46초   =>  코인시스탬 매도 | 아이디 : JCS1 | 코인종류 : ETH | 체결가격 : 5025000원 | 체결금액 : 21238328원 | 체결수량 : 4.226533
2021년 12월 16일 22시 35분 46초   =>  코인시스탬 매수 | 아이디 : JCS1 | 코인종류 : XRP | 체결가격 : 1024원 | 체결금액 : 23592460원 | 체결수량 : 23039.512695
2021년 12월 17일 21시 23분 17초   =>  코인시스탬 매수 | 아이디 : JCS10000 | 코인종류 : BTC | 체결가격 : 58975000원 | 체결금액 : 14381171원 | 체결수량 : 0.243852
2021년 12월 17일 21시 23분 17초   =>  코인시스탬 매도 | 아이디 : JCS1 | 코인종류 : BTT | 체결가격 : 3.361원 | 체결금액 : 19999999원 | 체결수량 : 5950609.937518
2021년 12월 17일 21시 23분 17초   =>  코인시스탬 매도 | 아이디 : JCS1 | 코인종류 : BTT | 체결가격 : 3.361원 | 체결금액 : 8055472원 | 체결수량 : 2396748.88426
2021년 12월 17일 21시 23분 17초   =>  코인시스탬 매수 | 아이디 : JCS1 | 코인종류 : ETH | 체결가격 : 4940000원 | 체결금액 : 28055470원 | 체결수량 : 5.679245
2021년 12월 17일 21시 23분 17초   =>  코인시스탬 매도 | 아이디 : JCS1 | 코인종류 : ETH | 체결가격 : 4911000원 | 체결금액 : 57210173원 | 체결수량 : 11.649394
2021년 12월 18일 20시 11분 55초   =>  코인시스탬 매수 | 아이디 : JCS1 | 코인종류 : BTT | 체결가격 : 3.354원 | 체결금액 : 29999999원 | 체결수량 : 8944543.828264
2021년 12월 18일 20시 11분 55초   =>  코인시스탬 매도 | 아이디 : JCS1 | 코인종류 : XRP | 체결가격 : 1032원 | 체결금액 : 23776775원 | 체결수량 : 23039.511627
